id,title,dayPort,price,basePrice,promotion,activityLevel,stock,stockStatus,categories,interests,restrictions,descriptionWordCount,highlightCount,description,highlights,copyForAnalysis
KEBD,Small Group: Rain Forest Island Adventure,"Day 3 | KETCHIKAN, ALASKA",241.99,241.99,(35% OFF) FLASH SALE,Moderate,9999,IN_STOCK,Shore Excursions; Excursions,Active; Nature & Wildlife; Small Group Discoveries; Aquatics & Water Activity ; Sustainable,Are you greater than or equal to 40.0 lbs ?,92,3,"Surround yourself with nature and discover the beauty of Southeast Alaska as you travel by inflatable Seahawk vessel for an exciting cruise to Orca Beach, followed by a rain forest walk. Keep an eye out for wildlife along the way while delving into native culture as you join your guide for a nature walk and beach exploration, learning how the early inhabitants utilized all aspects of the ecosystem around them for spiritual enrichment, shelter, and transportation. Enjoy an Alaskan snack as you take in wonderful vistas before cruising back to Knudson Cove.","Walk through the unspoiled beauty of a coastal rainforest on a remote island as you learn about the botanical species native to the area.; Take an exhilarating cruise along the coast of Clover Passage, where a variety of wildlife can be spotted.; Enjoy an Alaskan style snack of smoked salmon, cheese, and crackers as you take in the incredible landscape that surrounds you.","Small Group: Rain Forest Island Adventure

Surround yourself with nature and discover the beauty of Southeast Alaska as you travel by inflatable Seahawk vessel for an exciting cruise to Orca Beach, followed by a rain forest walk. Keep an eye out for wildlife along the way while delving into native culture as you join your guide for a nature walk and beach exploration, learning how the early inhabitants utilized all aspects of the ecosystem around them for spiritual enrichment, shelter, and transportation. Enjoy an Alaskan snack as you take in wonderful vistas before cruising back to Knudson Cove.

Walk through the unspoiled beauty of a coastal rainforest on a remote island as you learn about the botanical species native to the area.

Take an exhilarating cruise along the coast of Clover Passage, where a variety of wildlife can be spotted.

Enjoy an Alaskan style snack of smoked salmon, cheese, and crackers as you take in the incredible landscape that surrounds you."
KEBQ,Destination Highlight: Potlatch Totem Park and City Highlights,"Day 3 | KETCHIKAN, ALASKA",59.99,59.99,(30% OFF) FLASH SALE,Mild,9999,IN_STOCK,Shore Excursions; Excursions,Sustainable; Cultural; Sightseeing; Destination Highlights,,72,3,"Immerse yourself in Ketchikan’s native arts, visiting a modern interpretation of a native village, while seeing the work of some of the area’s most gifted totem carvers. Begin your adventure with a tour of Potlatch Totem Park, a modern interpretation of a native village located on the breathtaking Tongass Narrows. You’ll learn about the area’s rich history and local native culture. Admire the beauty of Ketchikan’s coastal community and see local carvings.",Journey to the shores of the Tongass Narrows where you’ll visit a modern interpretation of a native village.; Learn local legends and discover the work of some of the world’s most gifted carvers at Potlatch Totem Park.; Visit Ketchikan’s beautiful waterfront and explore the city’s historic downtown area.,"Destination Highlight: Potlatch Totem Park and City Highlights

Immerse yourself in Ketchikan’s native arts, visiting a modern interpretation of a native village, while seeing the work of some of the area’s most gifted totem carvers. Begin your adventure with a tour of Potlatch Totem Park, a modern interpretation of a native village located on the breathtaking Tongass Narrows. You’ll learn about the area’s rich history and local native culture. Admire the beauty of Ketchikan’s coastal community and see local carvings.

Journey to the shores of the Tongass Narrows where you’ll visit a modern interpretation of a native village.

Learn local legends and discover the work of some of the world’s most gifted carvers at Potlatch Totem Park.

Visit Ketchikan’s beautiful waterfront and explore the city’s historic downtown area."
KEBC,Destination Highlight: Saxman Native Totem Village,"Day 3 | KETCHIKAN, ALASKA",99.99,99.99,(25% OFF) FLASH SALE,Mild,9999,IN_STOCK,Shore Excursions; Excursions,Sustainable; Cultural; Sightseeing; Destination Highlights,,72,3,"Begin experiencing the living culture of modern day southeast Alaskan natives by viewing the world’s largest collection of authentic totem poles. Then, experience a traditional welcoming ceremony as well as tribal dances and stories from local villagers. Listen as your tour hosts share their history, art and ancestors way of life, and help unravel the mysteries that lie beneath the towering, majestic totem poles that stand as sentries over the present generation.","View the world's largest collection of authentic totem poles at Saxman Totem Park while learning their history.; Receive an elaborate, time-honored welcome of years gone by from Tlingit villagers at Saxman Native Village.; Watch young performers demonstrate dances and tell tribal stories during your exclusive visit to the Beaver Clan House.","Destination Highlight: Saxman Native Totem Village

Begin experiencing the living culture of modern day southeast Alaskan natives by viewing the world’s largest collection of authentic totem poles. Then, experience a traditional welcoming ceremony as well as tribal dances and stories from local villagers. Listen as your tour hosts share their history, art and ancestors way of life, and help unravel the mysteries that lie beneath the towering, majestic totem poles that stand as sentries over the present generation.

View the world's largest collection of authentic totem poles at Saxman Totem Park while learning their history.

Receive an elaborate, time-honored welcome of years gone by from Tlingit villagers at Saxman Native Village.

Watch young performers demonstrate dances and tell tribal stories during your exclusive visit to the Beaver Clan House."
JUR6,Destination Highlight: Evening Whale Quest with Alaskan Cuisine,"Day 4 | JUNEAU, ALASKA",311.99,311.99,(10% OFF) PRE-CRUISE SAVINGS,Mild,9999,IN_STOCK,Shore Excursions; Excursions,Food and Wine; Nature & Wildlife; Destination Highlights; Aquatics & Water Activity ; Sustainable,,163,3,"Embark on an evening cruise where you'll enjoy Alaskan inspired appetizers and with guaranteed whale sightings. Get the most of your day in Juneau, before boarding one of Alaska's best passenger boats. Relax and unwind in the warm, spacious main cabin as you journey into Stephens Passage, a breathtaking marine wilderness surrounded by snow-capped peaks and glaciers. This area is the favored summer feeding ground for humpback whales. Marvel as the whales arc their massive tail flukes into the air. Your captain will navigate the boat close enough to allow exceptional viewing. Learn about these magnificent mammals from your onboard naturalist and discover the other incredible species that call this wilderness home including orcas, sea lions, porpoises, harbor seals, bald eagles and more. The culinary experience highlights locally-sourced cuisine. The menu includes Alaska themed appetizers, seasonal vegetables, meat and cheese tray and various delicious desserts. Complimentary tea, coffee, and cocoa will be available. Locally brewed beer, wine and sodas are available for purchase.","Listen to an expert onboard naturalist explanation the behavior and habitat of the humpback whale and other wildlife.; Try whale sightings from your catamaran's warm, spacious main cabin as you set out to explore Stephen's Passage.; Throughout the cruise indulge in locally sourced Alaskan appetizers.","Destination Highlight: Evening Whale Quest with Alaskan Cuisine

Embark on an evening cruise where you'll enjoy Alaskan inspired appetizers and with guaranteed whale sightings. Get the most of your day in Juneau, before boarding one of Alaska's best passenger boats. Relax and unwind in the warm, spacious main cabin as you journey into Stephens Passage, a breathtaking marine wilderness surrounded by snow-capped peaks and glaciers. This area is the favored summer feeding ground for humpback whales. Marvel as the whales arc their massive tail flukes into the air. Your captain will navigate the boat close enough to allow exceptional viewing. Learn about these magnificent mammals from your onboard naturalist and discover the other incredible species that call this wilderness home including orcas, sea lions, porpoises, harbor seals, bald eagles and more. The culinary experience highlights locally-sourced cuisine. The menu includes Alaska themed appetizers, seasonal vegetables, meat and cheese tray and various delicious desserts. Complimentary tea, coffee, and cocoa will be available. Locally brewed beer, wine and sodas are available for purchase.

Listen to an expert onboard naturalist explanation the behavior and habitat of the humpback whale and other wildlife.

Try whale sightings from your catamaran's warm, spacious main cabin as you set out to explore Stephen's Passage.

Throughout the cruise indulge in locally sourced Alaskan appetizers."
SKCM,Destination Highlight: Musher's Camp and Gold Panning,"Day 5 | SKAGWAY, ALASKA",198.99,198.99,(40% OFF) FLASH SALE,Mild,8,LOW_STOCK,Shore Excursions; Excursions,Destination Highlights,,167,3,"Your journey begins with an entertaining historic tour from your knowledgeable guide through downtown Skagway and along nine miles of stunning coastline to our Adventure Camp in Dyea. Kick off your visit with what we like to call a “Musher Talk.” We have been sharing our passion for dog sledding for years, and in that time, we have gathered up the most frequently asked questions about the sport. In the Musher Talk, we will share the fascinating answers and welcome any additional questions you may have. Of course, we make sure you have plenty of time to meet some of the actual athletes who do these amazing things, our sled dogs! After that, have a chance to pan for gold in our riverside sluice! Once your guide shows you the art of gold panning, you can test your luck to see what you can find. Then you will have time to browse the gift shop and relax in our saloon with a deck overlooking the picturesque stream.","Enjoy a scenic coach journey through downtown Skagway, viewing nine miles of breathtaking Alaska coastline.; Learn about Alaskan dog mushing and meet the sled dogs.; Your guide will show you the art of gold panning, test your luck to see what you can find.","Destination Highlight: Musher's Camp and Gold Panning

Your journey begins with an entertaining historic tour from your knowledgeable guide through downtown Skagway and along nine miles of stunning coastline to our Adventure Camp in Dyea. Kick off your visit with what we like to call a “Musher Talk.” We have been sharing our passion for dog sledding for years, and in that time, we have gathered up the most frequently asked questions about the sport. In the Musher Talk, we will share the fascinating answers and welcome any additional questions you may have. Of course, we make sure you have plenty of time to meet some of the actual athletes who do these amazing things, our sled dogs! After that, have a chance to pan for gold in our riverside sluice! Once your guide shows you the art of gold panning, you can test your luck to see what you can find. Then you will have time to browse the gift shop and relax in our saloon with a deck overlooking the picturesque stream.

Enjoy a scenic coach journey through downtown Skagway, viewing nine miles of breathtaking Alaska coastline.

Learn about Alaskan dog mushing and meet the sled dogs.

Your guide will show you the art of gold panning, test your luck to see what you can find."
JUS2,"Destination Highlight: Mendenhall Glacier, Whale Watching and Wildlife Quest","Day 4 | JUNEAU, ALASKA",462.99,462.99,(5% OFF) PRE-CRUISE SAVINGS,Mild,9999,IN_STOCK,Shore Excursions; Excursions,Active; Nature & Wildlife; Destination Highlights; Aquatics & Water Activity ; Sustainable,,119,3,"Experience Alaska’s two most popular attractions – glaciers and wildlife – on one incredible excursion. Begin with a panoramic drive through the Mendenhall Valley to Auke Bay, where you’ll board an Alaskan made expedition vessel for a whale-watching cruise. Relax in the spacious heated cabin as your Captain navigates through the island-studded waters of Stephen’s Passage. You’re most likely to spend time viewing the world famous Humpback Whales and sleek Killer Whales. Also look for porpoises, Bald Eagles, Harbor Seals, Sea Lions, and other wildlife. Afterwards, enjoy a narrated drive to Mendenhall Glacier. Trek along scenic viewing trails for incredible photo opportunities, and learn about the awesome force of glaciers from Forest Service experts at the Mendenhall Visitor Center.","Explore Alaska’s spectacular wilderness by land and sea on a combination motor coach and catamaran adventure.; Discover the stunning blue-ice Mendenhall Glacier and take in the beauty of Juneau’s unspoiled landscape while traveling through Mendenhall Valley.; Glide along the pristine waters of Stephen’s Passage and enjoy incredible views of snow-capped mountains, towering glaciers, and Alaska’s abundant wildlife.","Destination Highlight: Mendenhall Glacier, Whale Watching and Wildlife Quest

Experience Alaska’s two most popular attractions – glaciers and wildlife – on one incredible excursion. Begin with a panoramic drive through the Mendenhall Valley to Auke Bay, where you’ll board an Alaskan made expedition vessel for a whale-watching cruise. Relax in the spacious heated cabin as your Captain navigates through the island-studded waters of Stephen’s Passage. You’re most likely to spend time viewing the world famous Humpback Whales and sleek Killer Whales. Also look for porpoises, Bald Eagles, Harbor Seals, Sea Lions, and other wildlife. Afterwards, enjoy a narrated drive to Mendenhall Glacier. Trek along scenic viewing trails for incredible photo opportunities, and learn about the awesome force of glaciers from Forest Service experts at the Mendenhall Visitor Center.

Explore Alaska’s spectacular wilderness by land and sea on a combination motor coach and catamaran adventure.

Discover the stunning blue-ice Mendenhall Glacier and take in the beauty of Juneau’s unspoiled landscape while traveling through Mendenhall Valley.

Glide along the pristine waters of Stephen’s Passage and enjoy incredible views of snow-capped mountains, towering glaciers, and Alaska’s abundant wildlife."
VI87,Small Group: Experience Victoria by E-Bicycle,"Day 7 | VICTORIA, BRITISH COLUMBIA",215.99,215.99,(10% OFF) PRE-CRUISE SAVINGS,Strenuous,9999,IN_STOCK,Shore Excursions; Excursions,Sustainable; Sightseeing; Small Group Discoveries; Active,Are you greater than or equal to 16.0 years ?,225,3,"A two-hour sightseeing electric-assisted bicycle ride through Victoria's remarkable streetscapes offers a unique view of the city, as you pedal through Beacon Hill Park along Dallas Road Waterfront Trail through Chinatown and into the Inner Harbour. Meet up with your team of professional rider guides for a quick safety briefing. Then hop on two wheels and ride behind a guide who will lead you along an extensive network of paths and urban bike lanes throughout this ""Cycling Capital of Canada"". Your sightseeing route lets you explore the south end of Vancouver Island, where you'll admire Victorian architecture and a vibrant city vibe infused with a British colonial past. Breathe in the aroma of colorful flowers while traveling woodland trails through Beacon Hill Park. Feel the salty air rush through your hair along the Dallas Road Waterfront Trail, a recreational area popular with sailboarders and dog walkers. Pass under the ornate Gate of Harmonious Interest, which welcomes you to the oldest Chinatown in Canada. Then direct your e-bike toward the Inner Harbour, a seaside enclave abuzz with boats and float planes. Here you can admire First Nation totem poles and take in the beautiful British Columbia landscape before pedaling back to the pier. This tour is provided by an operator that has been third-party certified to meet the Global Sustainable Tourism Council's Criteria for Tour Operators.","Embark on a two-wheel, electrically assisted sightseeing adventure through Victoria with an experienced guide who knows the city's best routes.; With more cyclists per capita than any other Canadian city, Victoria offers epic bicycling opportunities.; Pedal past pretty Victorian architecture, Beacon Hill Park, Dallas Road Waterfront Trail, Chinatown's colorful cityscapes, and the Inner Harbour.","Small Group: Experience Victoria by E-Bicycle

A two-hour sightseeing electric-assisted bicycle ride through Victoria's remarkable streetscapes offers a unique view of the city, as you pedal through Beacon Hill Park along Dallas Road Waterfront Trail through Chinatown and into the Inner Harbour. Meet up with your team of professional rider guides for a quick safety briefing. Then hop on two wheels and ride behind a guide who will lead you along an extensive network of paths and urban bike lanes throughout this ""Cycling Capital of Canada"". Your sightseeing route lets you explore the south end of Vancouver Island, where you'll admire Victorian architecture and a vibrant city vibe infused with a British colonial past. Breathe in the aroma of colorful flowers while traveling woodland trails through Beacon Hill Park. Feel the salty air rush through your hair along the Dallas Road Waterfront Trail, a recreational area popular with sailboarders and dog walkers. Pass under the ornate Gate of Harmonious Interest, which welcomes you to the oldest Chinatown in Canada. Then direct your e-bike toward the Inner Harbour, a seaside enclave abuzz with boats and float planes. Here you can admire First Nation totem poles and take in the beautiful British Columbia landscape before pedaling back to the pier. This tour is provided by an operator that has been third-party certified to meet the Global Sustainable Tourism Council's Criteria for Tour Operators.

Embark on a two-wheel, electrically assisted sightseeing adventure through Victoria with an experienced guide who knows the city's best routes.

With more cyclists per capita than any other Canadian city, Victoria offers epic bicycling opportunities.

Pedal past pretty Victorian architecture, Beacon Hill Park, Dallas Road Waterfront Trail, Chinatown's colorful cityscapes, and the Inner Harbour."
JUS1,Destination Highlight: Whale Watching and Wildlife Quest,"Day 4 | JUNEAU, ALASKA",292.99,292.99,(10% OFF) PRE-CRUISE SAVINGS,Mild,9999,IN_STOCK,Shore Excursions; Excursions,Active; Aquatic; Nature & Wildlife; Destination Highlights; Sustainable,,134,3,"Embark on a spectacular sightseeing cruise to discover some of Alaska's most majestic creatures - humpback whales. Your quest begins aboard a waterjet-powered expedition vessel specially designed for wildlife viewing. Relax in the warm, comfortable, spacious main cabin, surrounded by large windows as your experienced captain guides you through the island-studded waters of Stephen's Passage. Against a majestic backdrop of snow-capped peaks and glaciers, the onboard naturalist will explain the behavior and habitat of wildlife you may encounter, including humpback and killer whales, Steller sea lions, Dall's porpoise, harbor seals, bald eagles and more. To fully enjoy the sights and sounds of a close encounter with wildlife, be sure to bring a warm, rainproof jacket to wear on the topside observation (open-air) deck and don't forget your camera! Complimentary snacks and beverages are provided.",Sail across Stephen's Passage aboard an expedition vessel built in the tour operators very own shipyard.; Gaze upon dozens of Alaska's most elusive wildlife.; Catch spectacular views of snow-capped mountains and glaciers.,"Destination Highlight: Whale Watching and Wildlife Quest

Embark on a spectacular sightseeing cruise to discover some of Alaska's most majestic creatures - humpback whales. Your quest begins aboard a waterjet-powered expedition vessel specially designed for wildlife viewing. Relax in the warm, comfortable, spacious main cabin, surrounded by large windows as your experienced captain guides you through the island-studded waters of Stephen's Passage. Against a majestic backdrop of snow-capped peaks and glaciers, the onboard naturalist will explain the behavior and habitat of wildlife you may encounter, including humpback and killer whales, Steller sea lions, Dall's porpoise, harbor seals, bald eagles and more. To fully enjoy the sights and sounds of a close encounter with wildlife, be sure to bring a warm, rainproof jacket to wear on the topside observation (open-air) deck and don't forget your camera! Complimentary snacks and beverages are provided.

Sail across Stephen's Passage aboard an expedition vessel built in the tour operators very own shipyard.

Gaze upon dozens of Alaska's most elusive wildlife.

Catch spectacular views of snow-capped mountains and glaciers."
SKQF,Destination Highlight: To The Summit!,"Day 5 | SKAGWAY, ALASKA",57.99,57.99,(40% OFF) FLASH SALE,Mild,9999,IN_STOCK,Shore Excursions; Excursions,Sightseeing; Destination Highlights,,96,3,"Adventure to the 3,292 foot Summit of White Pass by mini-bus in just 1.5 hours Step off at scenic viewpoints for breathtaking photos! Your mountain guide will pass on a century of stories. You will see Dead Horse Trail, the White Pass Railroad, Pitchfork Falls, Moore bridge and numerous glaciers and peaks during your personalized, group experience. Stop at the Summit and and enjoy magnificent views of the scenic mountain landscape before returning to Skagway through USCBP. Upon returning to Skagway , a stop is made in town for guests wishing to shop or explore independently.","Discover Alaska's spectacular White Pass Summit, via the Klondike Highway, known as the original Gold Rush Trail of' '98.; Small group experience with local guide,; See Skagway and White Pass in just 1.5 hour, combines well with other tours","Destination Highlight: To The Summit!

Adventure to the 3,292 foot Summit of White Pass by mini-bus in just 1.5 hours Step off at scenic viewpoints for breathtaking photos! Your mountain guide will pass on a century of stories. You will see Dead Horse Trail, the White Pass Railroad, Pitchfork Falls, Moore bridge and numerous glaciers and peaks during your personalized, group experience. Stop at the Summit and and enjoy magnificent views of the scenic mountain landscape before returning to Skagway through USCBP. Upon returning to Skagway , a stop is made in town for guests wishing to shop or explore independently.

Discover Alaska's spectacular White Pass Summit, via the Klondike Highway, known as the original Gold Rush Trail of' '98.

Small group experience with local guide,

See Skagway and White Pass in just 1.5 hour, combines well with other tours"
SKF6,"Small Group: Klondike Summit, Gold Panning and Prospectors Lunch","Day 5 | SKAGWAY, ALASKA",231.99,231.99,(10% OFF) PRE-CRUISE SAVINGS,Moderate,9999,IN_STOCK,Shore Excursions; Excursions,Cultural; Sightseeing; Sustainable; Small Group Discoveries,,84,3,"Discover Skagway's rich gold-mining history as you traverse the scenic Klondike Highway aboard a comfortable coach, viewing historic landmarks and vestiges of Gold Rush days along the way. Then meet vivacious pioneer characters, where you'll also try your hand at gold panning. Linger over an open-air rustic feast as you approach a tasty spread of Alderwood-grilled WILD Alaska salmon, Cheechako chicken, Chilkoot baked beans, Tongass wild-rice pilaf, a selection of sides, salads, and beverages. Eat some blueberry cake for dessert as a sweet finish.","Gaze in awe at majesty of the Alaskan wilderness as you journey across the Klondike Highway.; Follow in the footsteps of old-time gold seekers as you pan for the precious metal.; Learn about Skagway's role in the Gold Rush, an ear when many risked everything in hopes of riches.","Small Group: Klondike Summit, Gold Panning and Prospectors Lunch

Discover Skagway's rich gold-mining history as you traverse the scenic Klondike Highway aboard a comfortable coach, viewing historic landmarks and vestiges of Gold Rush days along the way. Then meet vivacious pioneer characters, where you'll also try your hand at gold panning. Linger over an open-air rustic feast as you approach a tasty spread of Alderwood-grilled WILD Alaska salmon, Cheechako chicken, Chilkoot baked beans, Tongass wild-rice pilaf, a selection of sides, salads, and beverages. Eat some blueberry cake for dessert as a sweet finish.

Gaze in awe at majesty of the Alaskan wilderness as you journey across the Klondike Highway.

Follow in the footsteps of old-time gold seekers as you pan for the precious metal.

Learn about Skagway's role in the Gold Rush, an ear when many risked everything in hopes of riches."
SKQV,Small Group: Adventure Hike Skagway,"Day 5 | SKAGWAY, ALASKA",132.99,132.99,(40% OFF) FLASH SALE,Strenuous,9999,IN_STOCK,Shore Excursions; Excursions,Active; Sightseeing; Nature & Wildlife; Small Group Discoveries,Are you greater than or equal to 8.0 years ?,169,5,"Join experienced guides on an exciting hiking adventure through the Tongass Rainforest that immerses you in the incredible beauty of Southeast Alaska. Your adventure will begin with a guided driving town tour of Skagway and continue up the White Pass on the Klondike Highway. Along the way your guide will regale you with history about the Klondike Gold Rush and the natural history of the area. From the trailhead you will spend the next two hours hiking through the beautiful alpine forest surrounded by the towering snow-capped mountains of the White Pass. Your naturalist guides will stop frequently along the way to share their knowledge about the native flora, fauna, and to describe the amazing glacial history of Alaska. Each group is outfitted with binoculars to maximize your opportunities to see up close the spectacular mountain and river scenery. Midway through the hike you will be treated to a delicious snack at the final breathtaking overlook with incredible views of the Skagway valley, White Pass, and the Lynn Canal.","Drive through the town of Skagway en route to Alaska's famous White Pass, where your trailhead begins.; Spend approximately 2 hours hiking through the alpine rainforest, surrounded by the snowcapped mountains of the White Pass.; Experience the Tongass National Forest, the nation’s largest rainforest.; Learn about the native flora, fauna, and the glacial history of Alaska; Breathtaking overlooks with beautiful views","Small Group: Adventure Hike Skagway

Join experienced guides on an exciting hiking adventure through the Tongass Rainforest that immerses you in the incredible beauty of Southeast Alaska. Your adventure will begin with a guided driving town tour of Skagway and continue up the White Pass on the Klondike Highway. Along the way your guide will regale you with history about the Klondike Gold Rush and the natural history of the area. From the trailhead you will spend the next two hours hiking through the beautiful alpine forest surrounded by the towering snow-capped mountains of the White Pass. Your naturalist guides will stop frequently along the way to share their knowledge about the native flora, fauna, and to describe the amazing glacial history of Alaska. Each group is outfitted with binoculars to maximize your opportunities to see up close the spectacular mountain and river scenery. Midway through the hike you will be treated to a delicious snack at the final breathtaking overlook with incredible views of the Skagway valley, White Pass, and the Lynn Canal.

Drive through the town of Skagway en route to Alaska's famous White Pass, where your trailhead begins.

Spend approximately 2 hours hiking through the alpine rainforest, surrounded by the snowcapped mountains of the White Pass.

Experience the Tongass National Forest, the nation’s largest rainforest.

Learn about the native flora, fauna, and the glacial history of Alaska

Breathtaking overlooks with beautiful views"
SKQK,Destination Highlight: Klondike Summit and Historic City Tour,"Day 5 | SKAGWAY, ALASKA",128.99,128.99,(5% OFF) PRE-CRUISE SAVINGS,Mild,9999,IN_STOCK,Shore Excursions; Excursions,Sustainable; Sightseeing; Destination Highlights,Are you between 56.0 and 270.0 inches ?,80,3,"Experience Skagway's gold rush history on this adventure to the infamous White Pass Summit. Enjoy a narrated scenic drive in the comfort of a motor coach past the wooden boardwalks and façades of downtown Skagway. Then, follow in the footsteps of early gold seekers as you journey 3292 feet above sea level to White Pass Summit. You'll see Brackett Wagon Road, the breathtaking Pitchfork Falls, and Tormented Valley. Admire incredible views while learning about a significant moment in Alaskan history.","Drive parallel to the White Pass and Yukon Route Railroad on the way to the White Pass Summit.; Enjoy a guided drive through downtown Skagway, hearing stories of Skagway settlers during the Gold Rush.; See Brackett Wagon Road, Pitch Fork Falls, and Tormented Valley.","Destination Highlight: Klondike Summit and Historic City Tour

Experience Skagway's gold rush history on this adventure to the infamous White Pass Summit. Enjoy a narrated scenic drive in the comfort of a motor coach past the wooden boardwalks and façades of downtown Skagway. Then, follow in the footsteps of early gold seekers as you journey 3292 feet above sea level to White Pass Summit. You'll see Brackett Wagon Road, the breathtaking Pitchfork Falls, and Tormented Valley. Admire incredible views while learning about a significant moment in Alaskan history.

Drive parallel to the White Pass and Yukon Route Railroad on the way to the White Pass Summit.

Enjoy a guided drive through downtown Skagway, hearing stories of Skagway settlers during the Gold Rush.

See Brackett Wagon Road, Pitch Fork Falls, and Tormented Valley."
VIBB,Destination Highlight: Whale Watching and Wildlife Tour,"Day 7 | VICTORIA, BRITISH COLUMBIA",301.99,301.99,(5% OFF) PRE-CRUISE SAVINGS,Mild,1,LOW_STOCK,Shore Excursions; Excursions,Nature & Wildlife; Destination Highlights; Aquatics & Water Activity ,,128,3,"Experience a remarkably comfortable and captivating whale and wildlife cruise aboard Victoria’s premier whale watching vessels. This high-speed sightseeing vessel affords all sorts of added conveniences. Look out from the open deck or relax in the headed indoor seating area. Enjoy a snack onboard; perhaps even browse a wildlife book from the onboard collection. Keep watch for the telltale spouts of majestic Humpback Whales. Victoria’s waters are also the best place in the world to spot mighty Killer Whales. A team of certified marine biologists travels on every voyage to provide in-depth details about marine mammals and other wildlife found along the way. Cruise through this remarkably pristine territory and have your camera at the ready, as you set sail with Victoria’s largest whale and wildlife spotting fleet.","Relax aboard the luxurious sightseeing vessel and enjoy a snack during your voyage. Cruise the waters off Victoria in search of Killer Whales, Humpback Whales, porpoises, seals and sea lions, along with other marine wildlife. Learn about whales and the marine ecosystem from a team of marine biologists.; Cruise the waters off Victoria in search of Killer Whales, Humpback Whales, porpoises, seals and sea lions, along with and other marine wildlife.; Learn about whales and the marine ecosystem from a team of marine biologists.","Destination Highlight: Whale Watching and Wildlife Tour

Experience a remarkably comfortable and captivating whale and wildlife cruise aboard Victoria’s premier whale watching vessels. This high-speed sightseeing vessel affords all sorts of added conveniences. Look out from the open deck or relax in the headed indoor seating area. Enjoy a snack onboard; perhaps even browse a wildlife book from the onboard collection. Keep watch for the telltale spouts of majestic Humpback Whales. Victoria’s waters are also the best place in the world to spot mighty Killer Whales. A team of certified marine biologists travels on every voyage to provide in-depth details about marine mammals and other wildlife found along the way. Cruise through this remarkably pristine territory and have your camera at the ready, as you set sail with Victoria’s largest whale and wildlife spotting fleet.

Relax aboard the luxurious sightseeing vessel and enjoy a snack during your voyage. Cruise the waters off Victoria in search of Killer Whales, Humpback Whales, porpoises, seals and sea lions, along with other marine wildlife. Learn about whales and the marine ecosystem from a team of marine biologists.

Cruise the waters off Victoria in search of Killer Whales, Humpback Whales, porpoises, seals and sea lions, along with and other marine wildlife.

Learn about whales and the marine ecosystem from a team of marine biologists."
KEU4,Small Group: Ketchikan Pub Crawl,"Day 3 | KETCHIKAN, ALASKA",114.99,114.99,(40% OFF) FLASH SALE,Mild,9999,IN_STOCK,Shore Excursions; Excursions,Sightseeing; Positive Impact; Small Group Discoveries,Are you greater than or equal to 21.0 years ?,126,2,"Let's raise a glass to history! This fun, informative and engaging 90-minute walking tour is sure to please anyone who wants to really get to know the local culture of Ketchikan. You'll embark on your pub crawl with a true Alaskan local who will share the colorful history of the bar scene through stories and vintage photographs. You'll hear infamous stories of days gone by, facts of the prohibition era when the red-light district was in full swing and the legacy of many of Ketchikan’s most popular hot spots. You’ll enjoy an adult beverage at each stop, stroll down historic streets and get a real sense of what life is like in this unique rainforest town. Join us and belly up to the bar in Ketchikan!",Meet your local guide and set out to explore some of Ketchikan's favorite hot spots.; Hear stories of the Prohibition era and Ketchikan's Red Light District .,"Small Group: Ketchikan Pub Crawl

Let's raise a glass to history! This fun, informative and engaging 90-minute walking tour is sure to please anyone who wants to really get to know the local culture of Ketchikan. You'll embark on your pub crawl with a true Alaskan local who will share the colorful history of the bar scene through stories and vintage photographs. You'll hear infamous stories of days gone by, facts of the prohibition era when the red-light district was in full swing and the legacy of many of Ketchikan’s most popular hot spots. You’ll enjoy an adult beverage at each stop, stroll down historic streets and get a real sense of what life is like in this unique rainforest town. Join us and belly up to the bar in Ketchikan!

Meet your local guide and set out to explore some of Ketchikan's favorite hot spots.

Hear stories of the Prohibition era and Ketchikan's Red Light District ."
